section,metric,unit,2024_实际,2025_预测,2026_预测_B轮,2027_预测_C轮,2028_预测_上市申报,2029_预测_上市,2030_退出_保守,2030_退出_中性,2030_退出_乐观,source_id,assumption_status,notes
metadata,model_status,text,,,,,,,,,,,[示例],研究状态：示例
assumption,dilution_rate,%,0,0,0.1,0.1,0,0.25,0,0,0,[S2],[用户假设],各轮新增股份造成的稀释率
financial,revenue,万元,1550,16797,23516,41153,61730,92595,138892,138892,138892,[S1],[公司预测],退出三情景沿用同一收入预测
financial,net_income,万元,130,3607,3030,4642,8193,11934,18121,18121,18121,[S1],[公司预测],退出三情景沿用同一净利润预测
calculation,net_margin,%,"=IF(D4=0,NA(),D5/D4)","=IF(E4=0,NA(),E5/E4)","=IF(F4=0,NA(),F5/F4)","=IF(G4=0,NA(),G5/G4)","=IF(H4=0,NA(),H5/H4)","=IF(I4=0,NA(),I5/I4)","=IF(J4=0,NA(),J5/J4)","=IF(K4=0,NA(),K5/K4)","=IF(L4=0,NA(),L5/L4)",,[模型计算],净利润除以收入
assumption,valuation_method,text,,融资估值,融资估值,市盈率,市盈率,市盈率,市盈率,市盈率,市盈率,[S3],[用户假设],每列只指定一种主估值方法
calculation,price_to_sales,x,,"=IF(E4=0,NA(),E10/E4)","=IF(F4=0,NA(),F10/F4)","=IF(G4=0,NA(),G10/G4)","=IF(H4=0,NA(),H10/H4)","=IF(I4=0,NA(),I10/I4)","=IF(J4=0,NA(),J10/J4)","=IF(K4=0,NA(),K10/K4)","=IF(L4=0,NA(),L10/L4)",,[模型计算],作为市盈率估值的交叉检查
assumption,price_to_earnings,x,,"=IF(E5=0,NA(),E10/E5)","=IF(F5=0,NA(),F10/F5)",20,20,20,30,40,50,[S3],[用户假设],市盈率倍数
calculation,company_valuation,万元,,60000,70000,=G5*G9,=H5*H9,=I5*I9,=J5*J9,=K5*K9,=L5*L9,[S3],[混合],融资估值为输入；预测及退出估值由净利润乘市盈率
calculation,fund_ownership,%,,"=IF(E10=0,NA(),E13/E10)",=E11*(1-F3),=F11*(1-G3),=G11*(1-H3),=H11*(1-I3),=I11*(1-J3),=I11*(1-K3),=I11*(1-L3),,[模型计算],退出三情景均从上市后持股比例起算
calculation,fund_equity_value,万元,,=E10*E11,=F10*F11,=G10*G11,=H10*H11,=I10*I11,=J10*J11,=K10*K11,=L10*L11,,[模型计算],公司股权估值乘基金持股比例
assumption,invested_capital,万元,0,3000,0,0,0,0,=SUM($D$13:$I$13),=SUM($D$13:$I$13),=SUM($D$13:$I$13),[S4],[交易条款],年度现金投入；退出三列为累计投入
calculation,proceeds,万元,,,,,,,=J12,=K12,=L12,,[模型计算],退出总回款而非净收益
calculation,net_gain,万元,,,,,,,=J14-J13,=K14-K13,=L14-L13,,[模型计算],退出总回款减累计投入
output,MOIC,x,,,,,,,"=IF(J13=0,NA(),J14/J13)","=IF(K13=0,NA(),K14/K13)","=IF(L13=0,NA(),L14/L13)",,[模型计算],投入资本倍数等于总回款除以累计投入
output,cumulative_return,%,,,,,,,"=IF(J13=0,NA(),J15/J13)","=IF(K13=0,NA(),K15/K13)","=IF(L13=0,NA(),L15/L13)",,[模型计算],累计收益率等于净收益除以累计投入
output,IRR,%,,,,,,,"=IF(AND(COUNTIF(D20:I20,""<0"")>0,COUNTIF(D20:I20,"">0"")>0),IRR(D20:I20),NA())","=IF(AND(COUNTIF(D21:I21,""<0"")>0,COUNTIF(D21:I21,"">0"")>0),IRR(D21:I21),NA())","=IF(AND(COUNTIF(D22:I22,""<0"")>0,COUNTIF(D22:I22,"">0"")>0),IRR(D22:I22),NA())",,[模型计算],年度现金流内部收益率
cashflow_header,scenario,unit,2025,2026,2027,2028,2029,2030,,,,,,内部收益率辅助区
cashflow,cash_flow_conservative,万元,=-E13,=-F13,=-G13,=-H13,=-I13,=J14,,,,,[模型计算],终值使用退出总回款
cashflow,cash_flow_base,万元,=-E13,=-F13,=-G13,=-H13,=-I13,=K14,,,,,[模型计算],终值使用退出总回款
cashflow,cash_flow_optimistic,万元,=-E13,=-F13,=-G13,=-H13,=-I13,=L14,,,,,[模型计算],终值使用退出总回款
